EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/p1/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.020313; avg_replies=0.000317; pps=1179649.990563;
pps=1179644; bps=6804188434;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;
pps=0; bps=0;

